Store,City,Website,Contact,Notes,Region
Powell's Books,"Portland, OR",powells.com,smallpress@powells.com,World's largest indie; explicit small-press portal; philosophy + science/tech,United States — Independent Bookstores
City Lights Booksellers,"San Francisco, CA",citylights.com,staff@citylights.com,"Legendary intellectual/countercultural; philosophy, cultural studies floors",United States — Independent Bookstores
Kepler's Books,"Menlo Park, CA",keplers.com,keplers.com/contacts,Silicon Valley intellectual hub; science/tech + philosophy crossover,United States — Independent Bookstores
Book Passage,"Corte Madera & SF, CA",bookpassage.com,books@bookpassage.com,Bay Area institution; strong nonfiction and ideas sections,United States — Independent Bookstores
Bookshop Santa Cruz,"Santa Cruz, CA",bookshopsantacruz.com,info@bookshopsantacruz.com,Strong science and politics nonfiction,United States — Independent Bookstores
Chaucer's Books,"Santa Barbara, CA",chaucersbooks.com,orders@chaucersbooks.com,Indie since 1974; comprehensive nonfiction; near UCSB,United States — Independent Bookstores
Books Inc.,"San Francisco, CA (11 locations)",booksinc.net,weborders@booksinc.net,West's oldest indie; strong nonfiction,United States — Independent Bookstores
The Booksmith,"San Francisco, CA",booksmith.com,booksmith.com/contact,Haight-Ashbury indie; strong curated nonfiction and philosophy,United States — Independent Bookstores
Green Apple Books,"San Francisco, CA",greenapplebooks.com,greenapplebooks.com/contact,SF institution; large philosophy and science stock,United States — Independent Bookstores
Diesel Bookstore,"Oakland/Larkspur, CA",dieselbookstore.com,dieselbookstore.com,Highly curated Bay Area indie; strong nonfiction and ideas,United States — Independent Bookstores
Dog Eared Books,"San Francisco, CA",dogearedbooks.com,dogearedbooks.com,Castro/Mission indie; curated nonfiction including philosophy,United States — Independent Bookstores
Copperfield's Books,"Sonoma/Marin, CA",copperfieldsbooks.com,copperfieldsbooks.com,Wine Country indie; multiple locations; curated nonfiction,United States — Independent Bookstores
Politics and Prose,"Washington, DC",politics-prose.com,books@politics-prose.com,Top-tier nonfiction/ideas store; almost daily author events,United States — Independent Bookstores
Harvard Book Store,"Cambridge, MA",harvard.com,info@harvard.com,Landmark Cambridge indie since 1932; large nonfiction; Harvard/MIT community,United States — Independent Bookstores
MIT Press Bookstore,"Cambridge, MA",mitpressbookstore.mit.edu,books@mit.edu,"Specialist in science, technology, philosophy, economics",United States — Independent Bookstores
Porter Square Books,"Cambridge, MA",portersquarebooks.com,info@portersquarebooks.com,Strong nonfiction and academic; Cambridge/Somerville intellectual community,United States — Independent Bookstores
Brookline Booksmith,"Brookline, MA",brooklinebooksmith.com,thestore@brooklinebooksmith.com,Active philosophy and science section; publisher information page available,United States — Independent Bookstores
The Odyssey Bookshop,"South Hadley, MA",odysseybks.com,odysseybks.com/contact,Near Five College consortium; strong academic community,United States — Independent Bookstores
McNally Jackson Books,"New York, NY (5 locations)",mcnallyjackson.com,mcnallyjackson.com,"Highly curated NYC indie; philosophy, essays, nonfiction",United States — Independent Bookstores
Greenlight Bookstore,"Brooklyn, NY",greenlightbookstore.com,info@greenlightbookstore.com,Fort Greene institution; strong literary nonfiction; active events,United States — Independent Bookstores
Strand Bookstore,"New York, NY",strandbooks.com,strandbooks.com,"""18 miles of books""; extensive nonfiction and philosophy",United States — Independent Bookstores
Book Culture,"New York, NY",bookculture.com,bookculture.com,Near Columbia University; dedicated academic/philosophy section,United States — Independent Bookstores
WORD Bookstores,"Jersey City, NJ",wordbookstores.com,weborders@wordbookstores.com,Curated indie; literary nonfiction; strong NYC metro community,United States — Independent Bookstores
Community Bookstore,"Brooklyn, NY",communitybookstore.net,communitybookstore.net,Park Slope institution; curated literary nonfiction,United States — Independent Bookstores
The Lit. Bar,"Bronx, NY",thelitbar.com,thebronxreads@thelitbar.com,Only indie in the Bronx; nonfiction and literary titles,United States — Independent Bookstores
BookPeople,"Austin, TX",bookpeople.com,customerservice@bookpeople.com,Texas's largest indie; comprehensive nonfiction; major author event venue,United States — Independent Bookstores
Tattered Cover Book Store,"Denver, CO",tatteredcover.com,authorinquiries@tatteredcover.com,Colorado institution; broad nonfiction; local author consignment program,United States — Independent Bookstores
Books & Books,"Coral Gables, FL",booksandbooks.com,booksandbooks.com/contact,Miami institution; strong literary nonfiction; multiple FL locations,United States — Independent Bookstores
Square Books,"Oxford, MS",squarebooks.com,books@squarebooks.com,Near University of Mississippi; curated literary and nonfiction,United States — Independent Bookstores
Changing Hands Bookstore,"Phoenix/Tempe, AZ",changinghands.com,inbox@changinghands.com,Arizona's flagship indie since 1974; near Arizona State University,United States — Independent Bookstores
Parnassus Books,"Nashville, TN",parnassusbooks.net,parnassusbooks.net/contactus,Ann Patchett's store; excellent nonfiction curation; influential in publishing circles,United States — Independent Bookstores
